2026-01-25 06:03:06, Epoch 88, LR 0.000010, Acc 99.93, LOSS 0.053245, EER 28.1714, minDCF 0.989, Train Time 110.76s, Eval Time 86.14s
2026-01-25 06:06:23, Epoch 89, LR 0.000010, Acc 99.91, LOSS 0.055754, EER 28.1143, minDCF 0.987, Train Time 110.92s, Eval Time 86.25s
2026-01-25 06:09:37, Epoch 90, LR 0.000010, Acc 99.93, LOSS 0.054718, EER 27.7429, minDCF 0.987, Train Time 111.19s, Eval Time 82.74s
2026-01-25 06:12:51, Epoch 91, LR 0.000010, Acc 99.92, LOSS 0.053733, EER 27.7714, minDCF 0.985, Train Time 110.77s, Eval Time 83.10s
2026-01-25 06:16:08, Epoch 92, LR 0.000010, Acc 99.93, LOSS 0.054017, EER 27.8000, minDCF 0.987, Train Time 110.65s, Eval Time 86.00s
2026-01-25 06:19:24, Epoch 93, LR 0.000010, Acc 99.94, LOSS 0.051338, EER 27.9429, minDCF 0.986, Train Time 110.77s, Eval Time 85.04s
2026-01-25 06:22:41, Epoch 94, LR 0.000010, Acc 99.93, LOSS 0.052024, EER 27.8286, minDCF 0.990, Train Time 110.90s, Eval Time 86.99s
2026-01-25 06:25:56, Epoch 95, LR 0.000010, Acc 99.92, LOSS 0.052465, EER 27.8571, minDCF 0.987, Train Time 110.99s, Eval Time 84.00s
2026-01-25 06:29:12, Epoch 96, LR 0.000010, Acc 99.95, LOSS 0.050975, EER 27.9714, minDCF 0.991, Train Time 110.59s, Eval Time 85.03s
2026-01-25 06:32:31, Epoch 97, LR 0.000010, Acc 99.96, LOSS 0.050322, EER 27.6857, minDCF 0.986, Train Time 110.91s, Eval Time 87.85s
2026-01-25 06:36:06, Epoch 98, LR 0.000010, Acc 99.93, LOSS 0.050851, EER 27.9143, minDCF 0.985, Train Time 110.82s, Eval Time 103.89s
2026-01-25 06:39:20, Epoch 99, LR 0.000010, Acc 99.91, LOSS 0.051266, EER 28.1714, minDCF 0.983, Train Time 111.37s, Eval Time 83.15s
2026-01-25 06:42:38, Epoch 100, LR 0.000010, Acc 99.91, LOSS 0.051271, EER 27.8000, minDCF 0.989, Train Time 110.72s, Eval Time 87.42s
2026-01-25 06:45:54, Epoch 101, LR 0.000010, Acc 99.94, LOSS 0.050069, EER 27.7143, minDCF 0.984, Train Time 110.88s, Eval Time 85.37s
2026-01-25 06:49:18, Epoch 102, LR 0.000010, Acc 99.95, LOSS 0.048994, EER 27.5143, minDCF 0.985, Train Time 110.79s, Eval Time 92.85s
2026-01-25 06:52:32, Epoch 103, LR 0.000010, Acc 99.93, LOSS 0.049113, EER 27.6571, minDCF 0.986, Train Time 110.94s, Eval Time 82.73s
2026-01-25 06:55:45, Epoch 104, LR 0.000010, Acc 99.92, LOSS 0.049509, EER 27.5714, minDCF 0.986, Train Time 110.87s, Eval Time 82.53s
2026-01-25 06:58:59, Epoch 105, LR 0.000010, Acc 99.93, LOSS 0.049044, EER 27.7143, minDCF 0.980, Train Time 111.51s, Eval Time 82.68s
2026-01-25 07:02:15, Epoch 106, LR 0.000010, Acc 99.94, LOSS 0.048393, EER 27.7429, minDCF 0.987, Train Time 110.97s, Eval Time 84.11s
2026-01-25 07:05:30, Epoch 107, LR 0.000010, Acc 99.95, LOSS 0.047688, EER 27.6286, minDCF 0.985, Train Time 111.03s, Eval Time 84.81s
