2026-01-25 03:10:07, Epoch 67, LR 0.000010, Acc 99.78, LOSS 0.077921, EER 24.5714, minDCF 0.893, Train Time 40.95s, Eval Time 85.00s
2026-01-25 03:12:18, Epoch 68, LR 0.000010, Acc 99.78, LOSS 0.074853, EER 24.5143, minDCF 0.900, Train Time 40.76s, Eval Time 90.87s
2026-01-25 03:14:16, Epoch 69, LR 0.000010, Acc 99.88, LOSS 0.075224, EER 24.0286, minDCF 0.907, Train Time 40.60s, Eval Time 77.42s
2026-01-25 03:16:23, Epoch 70, LR 0.000010, Acc 99.76, LOSS 0.078544, EER 24.0571, minDCF 0.900, Train Time 40.23s, Eval Time 85.87s
2026-01-25 03:18:24, Epoch 71, LR 0.000010, Acc 99.87, LOSS 0.073915, EER 23.7429, minDCF 0.892, Train Time 40.78s, Eval Time 80.98s
2026-01-25 03:20:36, Epoch 72, LR 0.000010, Acc 99.84, LOSS 0.073467, EER 24.1143, minDCF 0.908, Train Time 40.35s, Eval Time 90.86s
2026-01-25 03:22:45, Epoch 73, LR 0.000010, Acc 99.82, LOSS 0.075037, EER 23.4571, minDCF 0.901, Train Time 40.40s, Eval Time 88.78s
2026-01-25 03:24:38, Epoch 74, LR 0.000010, Acc 99.87, LOSS 0.073490, EER 23.7429, minDCF 0.895, Train Time 40.57s, Eval Time 73.02s
2026-01-25 03:26:35, Epoch 75, LR 0.000010, Acc 99.76, LOSS 0.070633, EER 23.2000, minDCF 0.905, Train Time 40.42s, Eval Time 75.76s
2026-01-25 03:28:30, Epoch 76, LR 0.000010, Acc 99.87, LOSS 0.070152, EER 24.0857, minDCF 0.906, Train Time 40.26s, Eval Time 75.34s
2026-01-25 03:30:23, Epoch 77, LR 0.000010, Acc 99.87, LOSS 0.068964, EER 23.3429, minDCF 0.908, Train Time 40.45s, Eval Time 72.38s
2026-01-25 03:32:21, Epoch 78, LR 0.000010, Acc 99.93, LOSS 0.069624, EER 23.6000, minDCF 0.912, Train Time 40.61s, Eval Time 77.61s
2026-01-25 03:34:22, Epoch 79, LR 0.000010, Acc 99.78, LOSS 0.071422, EER 24.4286, minDCF 0.919, Train Time 40.18s, Eval Time 80.29s
2026-01-25 03:36:21, Epoch 80, LR 0.000010, Acc 99.84, LOSS 0.072135, EER 23.6000, minDCF 0.914, Train Time 40.10s, Eval Time 79.23s
2026-01-25 03:38:37, Epoch 81, LR 0.000010, Acc 99.79, LOSS 0.070114, EER 23.2000, minDCF 0.910, Train Time 40.72s, Eval Time 94.90s
2026-01-25 03:40:35, Epoch 82, LR 0.000010, Acc 99.75, LOSS 0.074726, EER 23.1429, minDCF 0.910, Train Time 41.17s, Eval Time 76.82s
2026-01-25 03:42:49, Epoch 83, LR 0.000010, Acc 99.90, LOSS 0.065981, EER 23.1714, minDCF 0.898, Train Time 40.68s, Eval Time 93.46s
2026-01-25 03:44:50, Epoch 84, LR 0.000010, Acc 99.85, LOSS 0.067461, EER 23.0571, minDCF 0.908, Train Time 40.81s, Eval Time 79.84s
2026-01-25 03:46:49, Epoch 85, LR 0.000010, Acc 99.88, LOSS 0.064251, EER 23.4000, minDCF 0.916, Train Time 40.61s, Eval Time 77.89s
2026-01-25 03:48:48, Epoch 86, LR 0.000010, Acc 99.75, LOSS 0.068320, EER 23.4571, minDCF 0.914, Train Time 40.75s, Eval Time 78.20s
2026-01-25 03:50:46, Epoch 87, LR 0.000010, Acc 99.90, LOSS 0.063144, EER 24.3143, minDCF 0.911, Train Time 40.64s, Eval Time 78.33s
2026-01-25 03:52:45, Epoch 88, LR 0.000010, Acc 99.76, LOSS 0.066659, EER 23.4571, minDCF 0.908, Train Time 40.58s, Eval Time 78.11s
2026-01-25 03:54:42, Epoch 89, LR 0.000010, Acc 99.93, LOSS 0.064947, EER 23.7714, minDCF 0.904, Train Time 40.36s, Eval Time 76.07s
