2026-02-09 04:53:46, Epoch 88, LR 0.000010, Acc 99.92, LOSS 0.053331, EER 28.1143, minDCF 0.990, Train Time 110.98s, Eval Time 83.28s
2026-02-09 04:57:12, Epoch 89, LR 0.000010, Acc 99.92, LOSS 0.055815, EER 28.0571, minDCF 0.990, Train Time 110.86s, Eval Time 95.29s
2026-02-09 05:00:30, Epoch 90, LR 0.000010, Acc 99.93, LOSS 0.054761, EER 27.8857, minDCF 0.987, Train Time 111.16s, Eval Time 87.13s
2026-02-09 05:03:47, Epoch 91, LR 0.000010, Acc 99.92, LOSS 0.053692, EER 27.6857, minDCF 0.986, Train Time 110.80s, Eval Time 86.31s
2026-02-09 05:07:04, Epoch 92, LR 0.000010, Acc 99.93, LOSS 0.054047, EER 27.7714, minDCF 0.987, Train Time 111.22s, Eval Time 85.38s
2026-02-09 05:10:20, Epoch 93, LR 0.000010, Acc 99.95, LOSS 0.051369, EER 27.9429, minDCF 0.986, Train Time 111.14s, Eval Time 84.75s
2026-02-09 05:13:46, Epoch 94, LR 0.000010, Acc 99.94, LOSS 0.051956, EER 27.6857, minDCF 0.990, Train Time 110.93s, Eval Time 95.81s
2026-02-09 05:17:02, Epoch 95, LR 0.000010, Acc 99.93, LOSS 0.052452, EER 27.9429, minDCF 0.988, Train Time 110.89s, Eval Time 85.02s
2026-02-09 05:20:42, Epoch 96, LR 0.000010, Acc 99.94, LOSS 0.050876, EER 28.0857, minDCF 0.989, Train Time 111.08s, Eval Time 108.94s
2026-02-09 05:24:04, Epoch 97, LR 0.000010, Acc 99.96, LOSS 0.050272, EER 27.7429, minDCF 0.985, Train Time 110.77s, Eval Time 90.62s
2026-02-09 05:27:20, Epoch 98, LR 0.000010, Acc 99.92, LOSS 0.050975, EER 28.0571, minDCF 0.985, Train Time 111.12s, Eval Time 85.10s
2026-02-09 05:30:38, Epoch 99, LR 0.000010, Acc 99.90, LOSS 0.051295, EER 28.0857, minDCF 0.982, Train Time 110.90s, Eval Time 87.34s
